Filters and FollowUps
Brand:=|BrandXYZ
Segment Type:!=|Material Lead Time
Segment End Date:d>|01 Jan 2016

Brand,Operation Group,Operation Group Sequence,From Operation Group,Operation Type,Operation Type Sequence,Segment Type,Segment Type Sequence,From Plant Code,From Plant Country,From Plant Region,To Plant Code,To Plant Country,To Plant Region,Left Operation Code,Right Operation Code,From Plant,Segment Time,Segment Target Time,Block + Intransit Qty,Expired Stock Qty,Qty In Transit,Qty On Hand,Unrestricted Stock Qty,
"BrandXYZ","API","1","API","APIID","Not Set","Transit Time","888","AN32","US","NORTH AMERICA","PR16","US","NORTH AMERICA","Not Set","DRUG SUBSTANCE","ANDOVER","1.6666666666666667","0.0","0.0000","0.0000","0.0000","45.0960","1.5360"
"BrandXYZ","API","1","Not Set","API","Not Set","Production Quality Time","15","AN32","US","NORTH AMERICA","AN32","US","NORTH AMERICA","Not Set","Not Set","ANDOVER","261.3333333333333","999.0","0.0000","0.0000","0.0000","39.6000","39.6000"
"BrandXYZ","API","1","Not Set","API","Not Set","Production Time","10","AN32","US","NORTH AMERICA","AN32","US","NORTH AMERICA","Not Set","Not Set","ANDOVER","0.9230769230769231","999.0","0.0000","0.0000","0.0000","171.6000","171.6000"
"BrandXYZ","API","1","Not Set","API","Not Set","Release to Ship Wait Time","20","AN32","US","NORTH AMERICA","AN32","US","NORTH AMERICA","Not Set","Not Set","ANDOVER","513.6666666666666","999.0","0.0000","0.0000","0.0000","39.6000","39.6000"
"BrandXYZ","MARKET","4","PACK","RECEIPT TO SALE","Not Set","Receiving Quality Time","1","PT07","PT","EUROPE","PT07","PT","EUROPE","Not Set","Not Set","Azambuja","0.0","15.0","0.0000","0.0000","0.0000","3.0000","3.0000"
"BrandXYZ","MARKET","4","PACK","RECEIPT TO SALE","Not Set","Release to Sales Wait Time","20","PT07","PT","EUROPE","PT07","PT","EUROPE","Not Set","Not Set","Azambuja","15.5","999.0","0.0000","0.0000","0.0000","6.0000","6.0000"
"BrandXYZ","MARKET","4","PACK","RECEIPT TO SALE","Not Set","Receiving Quality Time","1","CH03","CH","EUROPE","CH03","CH","EUROPE","Not Set","Not Set","Burgdorf","6.5","0.0","0.0000","0.0000","0.0000","444.0000","444.0000"
"BrandXYZ","MARKET","4","PACK","RECEIPT TO SALE","Not Set","Release to Sales Wait Time","20","CH03","CH","EUROPE","CH03","CH","EUROPE","Not Set","Not Set","Burgdorf","91.14285714285714","999.0","0.0000","0.0000","0.0000","6216.0000","6216.0000"
"BrandXYZ","MARKET","4","PACK","RECEIPT TO SALE","Not Set","Receiving Quality Time","1","ES07","ES","EUROPE","ES07","ES","EUROPE","Not Set","Not Set","Cabanillas del Campo","5.0","5.0","0.0000","0.0000","0.0000","120.0000","120.0000"
"BrandXYZ","MARKET","4","PACK","RECEIPT TO SALE","Not Set","Release to Sales Wait Time","20","ES07","ES","EUROPE","ES07","ES","EUROPE","Not Set","Not Set","Cabanillas del Campo","22.0","999.0","0.0000","0.0000","0.0000","2160.0000","2160.0000"
